Fecha Scrapping,Plataforma,Titulo,Moneda,Precio,Ubicacion,Rubro,M2,Ciudad,Provincia,Pais,Ubicacion mapa,Precio en U$s,Precio x m2
2024-12-01,Mercado Libre,Oportunidad Única! Venta De Fondo De Comercio De Ferretería En Villa Devoto,US$,30000,"Villa Devoto, Capital Federal",Ferretería,70,Villa Devoto,Caba,Argentina,"Villa Devoto, Caba, Argentina",30000,429.0
2024-12-01,Mercado Libre,Se Vende Fondo De Comercio Cafetería Boutique Full Equipada,US$,15000,"Versalles, Capital Federal",Cafetería,45,Versalles,Caba,Argentina,"Versalles, Caba, Argentina",15000,333.0
2024-12-01,Mercado Libre,Fondo De Comercio De Dos Exitosos Restaurantes En Venta,US$,50000,"San Fernando, Bs.As. G.B.A. Norte",Restaurante,120,San Fernando,Buenos Aires,Argentina,"San Fernando, Buenos Aires, Argentina",50000,417.0
2024-12-01,Mercado Libre,Complejo Turístico En Venta - Arroyo De Los Patos,US$,180000,"Arroyo Los Patos, San Alberto, Córdoba",Hotelería,270,San Alberto,Córdoba,Argentina,"San Alberto, Córdoba, Argentina",180000,667.0
2024-12-01,Mercado Libre,Oportunidad Venta Fondo De Comercio Elctrónicos Nueva Pompeya Retasado,US$,49900,"Nueva Pompeya, Capital Federal",Otros,70,Nueva Pompeya,Caba,Argentina,"Nueva Pompeya, Caba, Argentina",49900,713.0
2024-12-01,Mercado Libre,Fondo De Comercio En  Venta En Arroyo De Los Patos,US$,280000,"Arroyo De Los Patos, Arroyo Los Patos, San Alberto, Córdoba",Otros,239,San Alberto,Córdoba,Argentina,"San Alberto, Córdoba, Argentina",280000,1172.0
2024-12-01,Mercado Libre,"Fondo De Comercio Ferretería El Yani En Venta En Barrio Coirones, San Martín De Los Andes, Patagonia Argentina",US$,150000,"Bazan, San Martin De Los Andes, Neuquén",Ferretería,140,San Martin De Los Andes,Neuquén,Argentina,"San Martin De Los Andes, Neuquén, Argentina",150000,1071.0
2024-12-01,Mercado Libre,Fondo De Comercio En San Martin,US$,24900,"Barrio Parque Gral San Martín, General San Martín, Bs.As. G.B.A. Norte",Otros,60,General San Martín,Buenos Aires,Argentina,"General San Martín, Buenos Aires, Argentina",24900,415.0
2024-12-01,Mercado Libre,"Fiambreria, Granja Y Almacen",US$,21000,"Haedo, Morón, Bs.As. G.B.A. Oeste",Almacén,24,Morón,Buenos Aires,Argentina,"Morón, Buenos Aires, Argentina",21000,875.0
2024-12-01,Mercado Libre,"Oportunidad !! Local De Ropa En Recoleta, Esquina, Casi A Estrenar, Todo Vidriera, Balcón, Subsuelo, Super Luminoso",US$,29000,"Recoleta, Capital Federal",Indumentaria,300,Recoleta,Caba,Argentina,"Recoleta, Caba, Argentina",29000,97.0
2024-12-01,Mercado Libre,Complejo Turístico En Venta En Mina Clavero,US$,260000,"Mina Clavero, San Alberto, Córdoba",Hotelería,290,San Alberto,Córdoba,Argentina,"San Alberto, Córdoba, Argentina",260000,897.0
2024-12-01,Mercado Libre,Fondo De Comercio Hostel En Pleno Centro De Mendoza,US$,30000,"Otros Barrios, Mendoza",Hotelería,242,Otros Barrios,Mendoza,Argentina,"Otros Barrios, Mendoza, Argentina",30000,124.0
2024-12-01,Mercado Libre,Complejo Turístico En Venta En Las Rabonas,US$,165000,"Las Rabonas, San Alberto, Córdoba",Hotelería,450,San Alberto,Córdoba,Argentina,"San Alberto, Córdoba, Argentina",165000,367.0
2024-12-01,Mercado Libre,Complejo De Cabañas En Venta En  Las Rabonas,US$,198000,"Las Rabonas, San Alberto, Córdoba",Hotelería,108,San Alberto,Córdoba,Argentina,"San Alberto, Córdoba, Argentina",198000,1833.0
2024-12-01,Mercado Libre,Local Fondo Comercio Carniceria Distribuidora Caba,US$,39000,"Villa Devoto, Capital Federal",Carnicería,200,Villa Devoto,Caba,Argentina,"Villa Devoto, Caba, Argentina",39000,195.0
2024-12-01,Mercado Libre,"Restaurante En Pleno Funcionamiento, Venta Por Viaje!!! Histórico En San Rafael!",US$,50,"San Rafael, Mendoza",Restaurante,500,San Rafael,Mendoza,Argentina,"San Rafael, Mendoza, Argentina",50,0.0
2024-12-01,Mercado Libre,Fondo De Comercio Empanadas Y Pizzas Gastronomia,US$,14000,"Florida, Vicente López, Bs.As. G.B.A. Norte",Pizzería,50,Vicente López,Buenos Aires,Argentina,"Vicente López, Buenos Aires, Argentina",14000,280.0
2024-12-01,Mercado Libre,"Se Vende Fondo De Comercio Bulonera - Pinamar, Oportunidad.",US$,291500,"Pinamar, Bs.As. Costa Atlántica",Ferretería,200,Pinamar,Buenos Aires,Argentina,"Pinamar, Buenos Aires, Argentina",291500,1458.0
2024-12-01,Mercado Libre,Llave En Mano: Natural Market De Reconocida Franquicia,US$,35000,"Recoleta, Capital Federal",Otros,110,Recoleta,Caba,Argentina,"Recoleta, Caba, Argentina",35000,318.0
2024-12-01,Mercado Libre,Venta De Fondo De Comercio De Carniceria,US$,40000,"Caseros, Bs.As. G.B.A. Oeste",Carnicería,80,Caseros,Buenos Aires,Argentina,"Caseros, Buenos Aires, Argentina",40000,500.0
2024-12-01,Mercado Libre,Ferretería Industrial Fondo De Comercio,US$,240000,"Villa Madero, Provincia De Buenos Aires, Argentina, La Tablada, La Matanza, Bs.As. G.B.A. Oeste",Ferretería,300,La Matanza,Buenos Aires,Argentina,"La Matanza, Buenos Aires, Argentina",240000,800.0
2024-12-01,Mercado Libre,"Fondo De Comercio- Regalería,jugueteria Y Libreria",US$,4500,"Lomas Del Mirador, La Matanza, Bs.As. G.B.A. Oeste",Otros,35,La Matanza,Buenos Aires,Argentina,"La Matanza, Buenos Aires, Argentina",4500,129.0
2024-12-01,Mercado Libre,"Fondo De Comercio: Fiambrería, Granja, Almacen",US$,25000,"Villa Adelina, San Isidro, Bs.As. G.B.A. Norte",Almacén,90,San Isidro,Buenos Aires,Argentina,"San Isidro, Buenos Aires, Argentina",25000,278.0
2024-12-01,Mercado Libre,"Vendo Fondo De Comercio En Quilmes Centro, Excelente Zona",US$,8500,"Quilmes, Bs.As. G.B.A. Sur",Otros,25,Quilmes,Buenos Aires,Argentina,"Quilmes, Buenos Aires, Argentina",8500,340.0
2024-12-01,Mercado Libre,Venta De Empresa De Seguridad Privada En Rosario,US$,150000,"ARB, Provincia De Santa Fe, Argentina, Centro, Rosario, Santa Fe",Otros,100,Rosario,Santa Fe,Argentina,"Rosario, Santa Fe, Argentina",150000,1500.0
2024-12-01,Mercado Libre,Fondo De Comercio Parque De Camas Elásticas En Quilmes!,US$,1111111,"Quilmes, Bs.As. G.B.A. Sur",Otros,901,Quilmes,Buenos Aires,Argentina,"Quilmes, Buenos Aires, Argentina",1111111,1233.0
2024-12-01,Mercado Libre,Fondo Comercio (llave),US$,20000,"La Plata, Bs.As. G.B.A. Sur",Otros,1,La Plata,Buenos Aires,Argentina,"La Plata, Buenos Aires, Argentina",20000,20000.0
2024-12-01,Mercado Libre,Venta De Instalación Completa Heladería Y Cafetería,$,1111111,"Coghlan, Capital Federal",Cafetería,10,Coghlan,Caba,Argentina,"Coghlan, Caba, Argentina",1010,101.0
2024-12-01,Mercado Libre,Fondo De Comercio Lavadero De Autos,US$,20000,"Villa Lynch, General San Martín, Bs.As. G.B.A. Norte",Otros,100,General San Martín,Buenos Aires,Argentina,"General San Martín, Buenos Aires, Argentina",20000,200.0
2024-12-01,Mercado Libre,Maxikiosco En Venta,US$,15000,"Ramos Mejía, La Matanza, Bs.As. G.B.A. Oeste",Kiosco,25,La Matanza,Buenos Aires,Argentina,"La Matanza, Buenos Aires, Argentina",15000,600.0
2024-12-01,Mercado Libre,Ferreteria Y Pintureria Gran Oportunidad,US$,26000,"Villa Ballester, General San Martín, Bs.As. G.B.A. Norte",Ferretería,60,General San Martín,Buenos Aires,Argentina,"General San Martín, Buenos Aires, Argentina",26000,433.0
2024-12-01,Mercado Libre,Fábrica De  Cerveza Artesanal / Muy Buena Inversión/ Galpón 160m2/ U$s 20.000,US$,20000,"Villa Ballester, General San Martín, Bs.As. G.B.A. Norte",Fábrica,160,General San Martín,Buenos Aires,Argentina,"General San Martín, Buenos Aires, Argentina",20000,125.0
2024-12-01,Mercado Libre,Fondo De Comercio Gastronomico Ramos Mejía,US$,18000,"Ramos Mejía, La Matanza, Bs.As. G.B.A. Oeste",Otros,100,La Matanza,Buenos Aires,Argentina,"La Matanza, Buenos Aires, Argentina",18000,180.0
2024-12-01,Mercado Libre,Se Vende Veneto Bar En La Mejor Esquina De Avellaneda,US$,30000,"Avellaneda, Bs.As. G.B.A. Sur",Otros,35,Avellaneda,Buenos Aires,Argentina,"Avellaneda, Buenos Aires, Argentina",30000,857.0
2024-12-01,Mercado Libre,"Fondo De Comercio. Trabajando, Gran Rentabilidad.",US$,15000,"Ciudadela, Tres De Febrero, Bs.As. G.B.A. Oeste",Otros,100,Tres De Febrero,Buenos Aires,Argentina,"Tres De Febrero, Buenos Aires, Argentina",15000,150.0
2024-12-01,Mercado Libre,Hipico En Venta Funcionando En Buenos Aires,$,180000,"Ezeiza, Bs.As. G.B.A. Sur",Otros,10,Ezeiza,Buenos Aires,Argentina,"Ezeiza, Buenos Aires, Argentina",164,16.0
2024-12-01,Mercado Libre,"Exitoso Fondo De Comercio En Mataderos, Bar, Restaurant, Cafetería, Excelente Ubicación, En Funcionamiento, Excelente Facturación.",US$,119000,"Mataderos, Capital Federal",Cafetería,219,Mataderos,Caba,Argentina,"Mataderos, Caba, Argentina",119000,543.0
2024-12-01,Mercado Libre,Escuchamos Ofertas. Pizza Café  Av F Lacroze Y Av Cabildo,US$,59000,"Palermo, Capital Federal",Cafetería,130,Palermo,Caba,Argentina,"Palermo, Caba, Argentina",59000,454.0
2024-12-01,Mercado Libre,Se Vende Panificadora,US$,100000,"Villa Lynch, General San Martín, Bs.As. G.B.A. Norte",Otros,200,General San Martín,Buenos Aires,Argentina,"General San Martín, Buenos Aires, Argentina",100000,500.0
